,store_nm,store_id,store_addr_line2_txt,store_city_nm,store_state_id,store_zip5_id,upc_id,upc_dsc,category_nm,hi
177825,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,81861702036,SUJA KOMBUCHA BERRY BOTTLE,REFRIGERATED PREMIUM DRINKS,[REFRIGERATED PREMIUM DRINKS] Please locate the SUJA KOMBUCHA BERRY BOTTLE (UPC: 81861702036) in the REFRIGERATED PREMIUM DRINKS aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177846,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,85005700319,GTS KOMBUCHA ROSE CLASSIC,REFRIGERATED PREMIUM DRINKS,[REFRIGERATED PREMIUM DRINKS] Please locate the GTS KOMBUCHA ROSE CLASSIC (UPC: 85005700319) in the REFRIGERATED PREMIUM DRINKS aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177935,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,89280900048,PURITY COCONUT WATER ORGANIC,REFRIGERATED PREMIUM DRINKS,[REFRIGERATED PREMIUM DRINKS] Please locate the PURITY COCONUT WATER ORGANIC (UPC: 89280900048) in the REFRIGERATED PREMIUM DRINKS aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177409,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,7146401948,BOLTHOUSE CAESAR VNGRT DRSNG ORGANIC,REFRIGERATED SALAD DRESSING,[REFRIGERATED SALAD DRESSING] Please locate the BOLTHOUSE CAESAR VNGRT DRSNG ORGANIC (UPC: 7146401948) in the REFRIGERATED SALAD DRESSING aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177460,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,7766114999,LITEHOUSE OPA FETA DILL,REFRIGERATED SALAD DRESSING,[REFRIGERATED SALAD DRESSING] Please locate the LITEHOUSE OPA FETA DILL (UPC: 7766114999) in the REFRIGERATED SALAD DRESSING aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177782,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,78535701741,PEETS COLD BREW ALMOND MILK PLASTIC,REFRIGERATED TEAS/COFFEE,[REFRIGERATED TEAS/COFFEE] Please locate the PEETS COLD BREW ALMOND MILK PLASTIC (UPC: 78535701741) in the REFRIGERATED TEAS/COFFEE aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177783,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,78535701742,PEETS COFFEE & TEA BARIDI BLACK CACAO,REFRIGERATED TEAS/COFFEE,[REFRIGERATED TEAS/COFFEE] Please locate the PEETS COFFEE & TEA BARIDI BLACK CACAO (UPC: 78535701742) in the REFRIGERATED TEAS/COFFEE aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177784,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,78535701743,PEETS COFFEE & TEA THE BLACK TIE PLASTIC,REFRIGERATED TEAS/COFFEE,[REFRIGERATED TEAS/COFFEE] Please locate the PEETS COFFEE & TEA THE BLACK TIE PLASTIC (UPC: 78535701743) in the REFRIGERATED TEAS/COFFEE aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177785,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,78535701858,PEETS COFFEE & TEA - PEPPERMINT MOCHA,REFRIGERATED TEAS/COFFEE,[REFRIGERATED TEAS/COFFEE] Please locate the PEETS COFFEE & TEA - PEPPERMINT MOCHA (UPC: 78535701858) in the REFRIGERATED TEAS/COFFEE aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177887,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,85518600620,STUMPTOWN NITRO COLD BREW CAN,REFRIGERATED TEAS/COFFEE,[REFRIGERATED TEAS/COFFEE] Please locate the STUMPTOWN NITRO COLD BREW CAN (UPC: 85518600620) in the REFRIGERATED TEAS/COFFEE aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177316,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,3663203828,LIGHT & FIT GREEK CARAMEL APPLE PIE SS,REFRIGERATED YOGURTS,[REFRIGERATED YOGURTS] Please locate the LIGHT & FIT GREEK CARAMEL APPLE PIE SS (UPC: 3663203828) in the REFRIGERATED YOGURTS aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177317,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,3663203842,LIGHT AND FIT PEACH MANGO SMOOTHIE,REFRIGERATED YOGURTS,[REFRIGERATED YOGURTS] Please locate the LIGHT AND FIT PEACH MANGO SMOOTHIE (UPC: 3663203842) in the REFRIGERATED YOGURTS aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177400,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,7085299349,CLOVER ORGANIC GREEK VANILLA YOGURT,REFRIGERATED YOGURTS,[REFRIGERATED YOGURTS] Please locate the CLOVER ORGANIC GREEK VANILLA YOGURT (UPC: 7085299349) in the REFRIGERATED YOGURTS aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177812,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,81455802033,FORAGER YOGURT CASHEW PLAIN,REFRIGERATED YOGURTS,[REFRIGERATED YOGURTS] Please locate the FORAGER YOGURT CASHEW PLAIN (UPC: 81455802033) in the REFRIGERATED YOGURTS aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177816,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,81590902003,NOOSA RASPBERRY HABANERO YOGHURT,REFRIGERATED YOGURTS,[REFRIGERATED YOGURTS] Please locate the NOOSA RASPBERRY HABANERO YOGHURT (UPC: 81590902003) in the REFRIGERATED YOGURTS aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177817,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,81590902006,NOOSA YOGHURT PEAR & CARDAMOM,REFRIGERATED YOGURTS,[REFRIGERATED YOGURTS] Please locate the NOOSA YOGHURT PEAR & CARDAMOM (UPC: 81590902006) in the REFRIGERATED YOGURTS aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177821,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,81829001119,CHOBANI CHERRY VANILLA DRINK,REFRIGERATED YOGURTS,[REFRIGERATED YOGURTS] Please locate the CHOBANI CHERRY VANILLA DRINK (UPC: 81829001119) in the REFRIGERATED YOGURTS aisle and take up to 5 clear and well−framed CLOSE−UP photos.
